epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.723,0.92494,4.01636,1.13644,0.41954,0.05295,0.12251,0.09837,0.77721,3.23698,0.99136,0.000523896,0.000174632,0.000523896,0.000174632,0.000523896,0.000174632,0.000523896,0.000174632
2,239.072,0.86549,2.98387,1.11826,0.47159,0.49049,0.47005,0.38665,0.72371,1.75514,0.98534,0.00102911,0.000343036,0.00102911,0.000343036,0.00102911,0.000343036,0.00102911,0.000343036
3,334.667,0.81426,1.88643,1.0795,0.74697,0.71654,0.77455,0.64242,0.65536,1.03324,0.93681,0.00151349,0.000504497,0.00151349,0.000504497,0.00151349,0.000504497,0.00151349,0.000504497
4,427.583,0.74349,1.33104,1.02789,0.86423,0.83152,0.88728,0.73918,0.61284,0.75862,0.90574,0.00148427,0.000494756,0.00148427,0.000494756,0.00148427,0.000494756,0.00148427,0.000494756
5,521.725,0.70178,1.10943,1.00403,0.90611,0.83987,0.9164,0.76896,0.59822,0.66653,0.89344,0.00145302,0.000484341,0.00145302,0.000484341,0.00145302,0.000484341,0.00145302,0.000484341
6,615.46,0.67014,0.99543,0.9863,0.90824,0.85905,0.92558,0.78112,0.59098,0.62266,0.88949,0.00142178,0.000473926,0.00142178,0.000473926,0.00142178,0.000473926,0.00142178,0.000473926
7,707.398,0.66127,0.91959,0.98459,0.92972,0.88221,0.94297,0.80403,0.56775,0.56306,0.88187,0.00139053,0.000463511,0.00139053,0.000463511,0.00139053,0.000463511,0.00139053,0.000463511
8,801.525,0.65228,0.88356,0.97794,0.92982,0.88718,0.94835,0.79789,0.58493,0.5518,0.8842,0.00135929,0.000453096,0.00135929,0.000453096,0.00135929,0.000453096,0.00135929,0.000453096
9,894.465,0.63785,0.84119,0.97138,0.93034,0.89741,0.94996,0.81176,0.56183,0.5356,0.87955,0.00132804,0.000442682,0.00132804,0.000442682,0.00132804,0.000442682,0.00132804,0.000442682
10,987.773,0.62783,0.80268,0.96446,0.94948,0.8893,0.95455,0.81773,0.54671,0.49927,0.87288,0.0012968,0.000432267,0.0012968,0.000432267,0.0012968,0.000432267,0.0012968,0.000432267
11,1079.96,0.6235,0.79747,0.96517,0.93652,0.90735,0.9574,0.81987,0.55297,0.49385,0.87259,0.00126556,0.000421852,0.00126556,0.000421852,0.00126556,0.000421852,0.00126556,0.000421852
12,1172.77,0.61778,0.76991,0.96254,0.94743,0.88994,0.95776,0.82196,0.556,0.49443,0.87774,0.00123431,0.000411437,0.00123431,0.000411437,0.00123431,0.000411437,0.00123431,0.000411437
